Heathrow Airport,01/01/2022,15,12.9,13.4,15,12.9,13.4,10.8,85.01,2.6,,4.17,,,,46.4,24.1,202.5,1017.2,56.4,10.2,594.2,51.3,9,,2022-01-01T08:07:24,2022-01-01T16:03:35,0.99,Rain,1,rain,"C9038,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Becoming cloudy in the afternoon with morning rain.
Heathrow Airport,02/01/2022,13.1,10,11.5,13.1,10,11.4,8.8,83.6,1.6,,16.67,,,,53.2,36.9,227.9,1010.3,77.6,10.2,581.2,50.2,9,,2022-01-02T08:07:17,2022-01-02T16:04:40,1,Rain,1,rain,"C9038,03672099999,03768099999,03781099999,D5398,D4121,03772099999,03770099999",Partly cloudy throughout the day with rain.
Heathrow Airport,03/01/2022,11,8.1,9.8,11,5.3,9.2,6.8,81.29,0,,0,,,,46.4,29.4,226.7,1007.8,27.5,10.1,638,55.1,10,,2022-01-03T08:07:06,2022-01-03T16:05:47,0,Partially cloudy,2,partly-cloudy-day,"C9038,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Partly cloudy throughout the day.
Heathrow Airport,04/01/2022,9,1.1,5,7,-4,2.1,2.6,84.59,3.99,,16.67,,,,,20.5,253.3,1001.5,43.9,9.7,669.5,57.8,10,,2022-01-04T08:06:51,2022-01-04T16:06:57,0.02,Rain,1,rain,"C9038,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Partly cloudy throughout the day with afternoon rain.
Heathrow Airport,05/01/2022,6,0,3,3.7,-4.2,-0.4,-0.7,77.28,0,,0,,,,,22.3,288.8,1013.9,3.4,10.2,487.5,26.3,10,,2022-01-05T08:06:34,2022-01-05T16:08:10,0.05,Clear,0,clear-day,"C9038,03672099999,03768099999,03781099999,D5398,D4121,03772099999,03770099999",Clear conditions throughout the day.
Heathrow Airport,06/01/2022,7,-2,2.8,4.3,-5.4,-0.3,0.7,86.58,0.2,,20.83,,,,57.6,27.7,218.8,1016.4,36,10.1,440.8,25.4,10,,2022-01-06T08:06:13,2022-01-06T16:09:24,0.09,Rain,1,rain,"C9038,03672099999,03768099999,03781099999,D5398,D4121,F1762,03772099999,03770099999",Partly cloudy throughout the day with afternoon rain.
Heathrow Airport,07/01/2022,6,1,3.9,2.3,-3.4,-0.2,1,81.48,1,,8.33,,,,55.4,35.2,254.2,1010.6,10.3,10.3,716,54.1,10,,2022-01-07T08:05:49,2022-01-07T16:10:41,0.14,Rain,1,rain,"C9038,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Clear conditions throughout the day with early morning rain.
Heathrow Airport,08/01/2022,10.1,0.1,6.3,10.1,-3,3.7,4.4,87.59,3.23,,41.67,,,,54.7,24.1,232.5,1001.5,50.2,9.7,685.6,59.2,10,,2022-01-08T08:05:22,2022-01-08T16:12:01,0.19,Rain,1,rain,"C9038,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Partly cloudy throughout the day with rain.
Heathrow Airport,09/01/2022,8.1,2,4.6,5.8,-0.6,2,1.4,80.1,0.2,,4.17,,,,,22.3,248,1003,9.7,10.1,565.2,34.6,10,,2022-01-09T08:04:51,2022-01-09T16:13:22,0.24,Rain,1,rain,"C9038,03672099999,03768099999,03781099999,D4121,F1762,03772099999,03770099999",Clear conditions throughout the day with early morning rain.
Heathrow Airport,10/01/2022,8.1,2,5.8,7.1,2,4.8,4.7,92.6,0,0,,rain,0,0,38.2,11.1,150,1018.5,34.7,9.3,648.5,51.5,10,10,2022-01-10T08:04:17,2022-01-10T16:14:46,0.28,Partially cloudy,2,partly-cloudy-day,"D5621,C9038,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Becoming cloudy in the afternoon.
