Heathrow Airport,01/01/2020,6.8,2.9,5.4,6.3,0.3,4,3.9,90.37,0,,4.17,,,,,11.1,129,1029.3,90.3,6.3,23.3,0.7,0,,2020-01-01T08:07:25,2020-01-01T16:03:03,0.17,Overcast,3,cloudy,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Cloudy skies throughout the day.
Heathrow Airport,02/01/2020,10.8,6.7,8.8,10.8,3.8,7.2,7.1,89.27,0,,8.33,,,,48.2,27.7,188.3,1020.4,93.2,22,38.1,1.2,1,,2020-01-02T08:07:19,2020-01-02T16:04:06,0.22,Overcast,3,cloudy,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Cloudy skies throughout the day.
Heathrow Airport,03/01/2020,10.6,4.8,8.3,10.6,2,6.4,5.2,81.85,0.82,,12.5,,,,51.5,25.9,265.4,1021.4,48.9,25.4,62.6,1.8,1,,2020-01-03T08:07:10,2020-01-03T16:05:12,0.26,Rain,1,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Partly cloudy throughout the day with a chance of rain throughout the day.
Heathrow Airport,04/01/2020,8.8,2.9,6.3,6.5,-0.5,3.6,3.2,80.82,0,,0,,,,35.3,25.9,248.8,1034.2,79.4,33.3,64.9,1.9,1,,2020-01-04T08:06:58,2020-01-04T16:06:21,0.31,Partially cloudy,2,partly-cloudy-day,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Partly cloudy throughout the day.
Heathrow Airport,05/01/2020,9,6.5,7.8,6.1,3.2,5.1,5,82.9,0,,0,,,,,25.9,224.6,1033.2,96.5,40.4,44.3,1.3,1,,2020-01-05T08:06:42,2020-01-05T16:07:32,0.36,Overcast,3,cloudy,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Cloudy skies throughout the day.
Heathrow Airport,06/01/2020,8.6,6.6,7.6,6.1,3.4,4.6,4.6,81.65,0.6,,4.17,,,,40.7,29.5,208.3,1022.2,76.2,27.5,58.9,1.7,1,,2020-01-06T08:06:23,2020-01-06T16:08:45,0.4,Rain,1,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Partly cloudy throughout the day with late afternoon rain.
Heathrow Airport,07/01/2020,12.8,5.3,9.4,12.8,2.5,8.2,8.1,92.03,0.2,,16.67,,,,48.2,27.7,208.8,1021.8,74.9,17.7,68.1,2,2,,2020-01-07T08:06:00,2020-01-07T16:10:01,0.44,Rain,1,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Partly cloudy throughout the day with early morning rain.
Heathrow Airport,08/01/2020,12.4,9.6,11.3,12.4,7.3,11.2,9.2,86.99,0.2,,12.5,,,,35.3,27.6,220.8,1020.6,89.1,21.1,51.6,1.5,1,,2020-01-08T08:05:35,2020-01-08T16:11:19,0.47,Rain,1,rain,"03680099999,03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Partly cloudy throughout the day with morning rain.
Heathrow Airport,09/01/2020,13.1,6.3,11,13.1,2,10.2,8.7,86.07,5.01,,16.67,,,,59.3,37,208.8,1006.8,67.4,27.5,54,1.6,1,,2020-01-09T08:05:06,2020-01-09T16:12:39,0.49,Rain,1,rain,"03680099999,03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Partly cloudy throughout the day with rain.
Heathrow Airport,10/01/2020,8.3,5.1,6.4,6.8,2,3.7,2.6,77.26,0.21,,12.5,,,,27.7,16.6,270.5,1023.1,64.5,34.3,62.6,1.8,1,,2020-01-10T08:04:34,2020-01-10T16:14:02,0.5,Rain,1,rain,"03660099999,03672099999,03768099999,03781099999,D4121,03772099999,03770099999",Partly cloudy throughout the day with rain clearing later.
